datalake,engine,query name,conf,latency,benchmark,sf
delta,presto,db1,16;200;20;18;18;32;32,7940.0,ssb,1
delta,presto,db10,16;200;20;18;18;32;32,4200.0,ssb,1
delta,presto,db11,16;200;20;18;18;32;32,2129.0,ssb,1
delta,presto,db12,16;200;20;18;18;32;32,3655.0,ssb,1
delta,presto,db13,16;200;20;18;18;32;32,2842.0,ssb,1
delta,presto,db14,16;200;20;18;18;32;32,2923.0,ssb,1
delta,presto,db15,16;200;20;18;18;32;32,3086.0,ssb,1
delta,presto,db16,16;200;20;18;18;32;32,1126.0,ssb,1
delta,presto,db17,16;200;20;18;18;32;32,2991.0,ssb,1
delta,presto,db18,16;200;20;18;18;32;32,2983.0,ssb,1
delta,presto,db19,16;200;20;18;18;32;32,3675.0,ssb,1
delta,presto,db2,16;200;20;18;18;32;32,1902.0,ssb,1
delta,presto,db20,16;200;20;18;18;32;32,3553.0,ssb,1
delta,presto,db21,16;200;20;18;18;32;32,6157.0,ssb,1
delta,presto,db22,16;200;20;18;18;32;32,784.0,ssb,1
delta,presto,db3,16;200;20;18;18;32;32,3556.0,ssb,1
delta,presto,db4,16;200;20;18;18;32;32,2302.0,ssb,1
delta,presto,db5,16;200;20;18;18;32;32,4497.0,ssb,1
delta,presto,db6,16;200;20;18;18;32;32,2065.0,ssb,1
delta,presto,db7,16;200;20;18;18;32;32,5431.0,ssb,1
delta,presto,db8,16;200;20;18;18;32;32,5271.0,ssb,1
delta,presto,db9,16;200;20;18;18;32;32,5964.0,ssb,1
delta,presto,db1,16;200;20;18;18;32;32,6260.0,ssb,1
delta,presto,db10,16;200;20;18;18;32;32,6482.0,ssb,1
delta,presto,db11,16;200;20;18;18;32;32,3992.0,ssb,1
delta,presto,db12,16;200;20;18;18;32;32,5023.0,ssb,1
delta,presto,db13,16;200;20;18;18;32;32,4126.0,ssb,1
delta,presto,db14,16;200;20;18;18;32;32,3780.0,ssb,1
delta,presto,db15,16;200;20;18;18;32;32,3520.0,ssb,1
delta,presto,db16,16;200;20;18;18;32;32,1912.0,ssb,1
delta,presto,db17,16;200;20;18;18;32;32,4807.0,ssb,1
delta,presto,db18,16;200;20;18;18;32;32,4771.0,ssb,1
delta,presto,db19,16;200;20;18;18;32;32,4045.0,ssb,1
delta,presto,db2,16;200;20;18;18;32;32,3327.0,ssb,1
delta,presto,db20,16;200;20;18;18;32;32,4867.0,ssb,1
delta,presto,db21,16;200;20;18;18;32;32,11007.0,ssb,1
delta,presto,db22,16;200;20;18;18;32;32,1186.0,ssb,1
delta,presto,db3,16;200;20;18;18;32;32,4566.0,ssb,1
delta,presto,db4,16;200;20;18;18;32;32,3664.0,ssb,1
delta,presto,db5,16;200;20;18;18;32;32,6147.0,ssb,1
delta,presto,db6,16;200;20;18;18;32;32,2119.0,ssb,1
delta,presto,db7,16;200;20;18;18;32;32,5922.0,ssb,1
delta,presto,db8,16;200;20;18;18;32;32,8496.0,ssb,1
delta,presto,db9,16;200;20;18;18;32;32,7464.0,ssb,1
delta,presto,db1,16;200;20;18;18;32;32,10594.0,ssb,1
delta,presto,db10,16;200;20;18;18;32;32,13315.0,ssb,1
delta,presto,db11,16;200;20;18;18;32;32,15868.0,ssb,1
delta,presto,db12,16;200;20;18;18;32;32,7574.0,ssb,1
delta,presto,db13,16;200;20;18;18;32;32,15024.0,ssb,1
delta,presto,db14,16;200;20;18;18;32;32,6430.0,ssb,1
delta,presto,db15,16;200;20;18;18;32;32,9168.0,ssb,1
delta,presto,db16,16;200;20;18;18;32;32,6777.0,ssb,1
delta,presto,db17,16;200;20;18;18;32;32,10795.0,ssb,1
delta,presto,db18,16;200;20;18;18;32;32,8293.0,ssb,1
delta,presto,db19,16;200;20;18;18;32;32,8260.0,ssb,1
delta,presto,db2,16;200;20;18;18;32;32,16020.0,ssb,1
delta,presto,db20,16;200;20;18;18;32;32,6832.0,ssb,1
delta,presto,db21,16;200;20;18;18;32;32,20793.0,ssb,1
delta,presto,db22,16;200;20;18;18;32;32,3994.0,ssb,1
delta,presto,db3,16;200;20;18;18;32;32,9285.0,ssb,1
delta,presto,db4,16;200;20;18;18;32;32,4392.0,ssb,1
delta,presto,db5,16;200;20;18;18;32;32,10964.0,ssb,1
delta,presto,db6,16;200;20;18;18;32;32,2126.0,ssb,1
delta,presto,db7,16;200;20;18;18;32;32,12244.0,ssb,1
delta,presto,db8,16;200;20;18;18;32;32,16321.0,ssb,1
delta,presto,db9,16;200;20;18;18;32;32,12713.0,ssb,1
delta,presto,db1,16;200;20;18;18;32;32,7205.0,ssb,1
delta,presto,db10,16;200;20;18;18;32;32,9228.0,ssb,1
delta,presto,db11,16;200;20;18;18;32;32,6268.0,ssb,1
delta,presto,db12,16;200;20;18;18;32;32,4629.0,ssb,1
