datalake,engine,query name,conf,latency,benchmark,sf
iceberg,presto,query42,16;200;20;18;18;32;32,7076.0,tpcds,100
iceberg,presto,query43,16;200;20;18;18;32;32,8576.0,tpcds,100
iceberg,presto,query44,16;200;20;18;18;32;32,3767.0,tpcds,100
iceberg,presto,query45,16;200;20;18;18;32;32,14583.0,tpcds,100
iceberg,presto,query46,16;200;20;18;18;32;32,13422.0,tpcds,100
iceberg,presto,query48,16;200;20;18;18;32;32,17423.0,tpcds,100
iceberg,presto,query49,16;200;20;18;18;32;32,79952.0,tpcds,100
iceberg,presto,query1,16;200;20;18;18;32;32,36584.0,tpcds,100
iceberg,presto,query10,16;200;20;18;18;32;32,31521.0,tpcds,100
iceberg,presto,query13,16;200;20;18;18;32;32,52901.0,tpcds,100
iceberg,presto,query15,16;200;20;18;18;32;32,24115.0,tpcds,100
iceberg,presto,query18,16;200;20;18;18;32;32,30741.0,tpcds,100
iceberg,presto,query19,16;200;20;18;18;32;32,22233.0,tpcds,100
iceberg,presto,query2,16;200;20;18;18;32;32,31207.0,tpcds,100
iceberg,presto,query22,16;200;20;18;18;32;32,105875.0,tpcds,100
iceberg,presto,query26,16;200;20;18;18;32;32,15337.0,tpcds,100
iceberg,presto,query27,16;200;20;18;18;32;32,22276.0,tpcds,100
iceberg,presto,query28,16;200;20;18;18;32;32,73727.0,tpcds,100
iceberg,presto,query3,16;200;20;18;18;32;32,12092.0,tpcds,100
iceberg,presto,query33,16;200;20;18;18;32;32,33752.0,tpcds,100
iceberg,presto,query34,16;200;20;18;18;32;32,16356.0,tpcds,100
iceberg,presto,query35,16;200;20;18;18;32;32,34943.0,tpcds,100
iceberg,presto,query36,16;200;20;18;18;32;32,21739.0,tpcds,100
iceberg,presto,query41,16;200;20;18;18;32;32,2999.0,tpcds,100
iceberg,presto,query42,16;200;20;18;18;32;32,9782.0,tpcds,100
iceberg,presto,query43,16;200;20;18;18;32;32,7613.0,tpcds,100
iceberg,presto,query44,16;200;20;18;18;32;32,5811.0,tpcds,100
iceberg,presto,query45,16;200;20;18;18;32;32,17199.0,tpcds,100
iceberg,presto,query46,16;200;20;18;18;32;32,27725.0,tpcds,100
iceberg,presto,query48,16;200;20;18;18;32;32,31302.0,tpcds,100
iceberg,presto,query49,16;200;20;18;18;32;32,83746.0,tpcds,100
iceberg,presto,query1,16;200;20;18;18;32;32,16908.0,tpcds,100
iceberg,presto,query10,16;200;20;18;18;32;32,25437.0,tpcds,100
iceberg,presto,query13,16;200;20;18;18;32;32,45219.0,tpcds,100
iceberg,presto,query15,16;200;20;18;18;32;32,15671.0,tpcds,100
iceberg,presto,query17,16;200;20;18;18;32;32,50001.0,tpcds,100
iceberg,presto,query18,16;200;20;18;18;32;32,36707.0,tpcds,100
iceberg,presto,query19,16;200;20;18;18;32;32,19717.0,tpcds,100
iceberg,presto,query2,16;200;20;18;18;32;32,24871.0,tpcds,100
iceberg,presto,query22,16;200;20;18;18;32;32,79479.0,tpcds,100
iceberg,presto,query25,16;200;20;18;18;32;32,54935.0,tpcds,100
iceberg,presto,query26,16;200;20;18;18;32;32,16876.0,tpcds,100
iceberg,presto,query27,16;200;20;18;18;32;32,27636.0,tpcds,100
iceberg,presto,query28,16;200;20;18;18;32;32,47672.0,tpcds,100
iceberg,presto,query29,16;200;20;18;18;32;32,47098.0,tpcds,100
iceberg,presto,query3,16;200;20;18;18;32;32,10561.0,tpcds,100
iceberg,presto,query31,16;200;20;18;18;32;32,27763.0,tpcds,100
iceberg,presto,query33,16;200;20;18;18;32;32,25294.0,tpcds,100
iceberg,presto,query34,16;200;20;18;18;32;32,11415.0,tpcds,100
iceberg,presto,query35,16;200;20;18;18;32;32,13090.0,tpcds,100
iceberg,presto,query36,16;200;20;18;18;32;32,13935.0,tpcds,100
iceberg,presto,query38,16;200;20;18;18;32;32,17540.0,tpcds,100
iceberg,presto,query41,16;200;20;18;18;32;32,2024.0,tpcds,100
iceberg,presto,query42,16;200;20;18;18;32;32,7076.0,tpcds,100
iceberg,presto,query43,16;200;20;18;18;32;32,8576.0,tpcds,100
iceberg,presto,query44,16;200;20;18;18;32;32,3767.0,tpcds,100
iceberg,presto,query45,16;200;20;18;18;32;32,14583.0,tpcds,100
iceberg,presto,query46,16;200;20;18;18;32;32,13422.0,tpcds,100
iceberg,presto,query48,16;200;20;18;18;32;32,17423.0,tpcds,100
iceberg,presto,query49,16;200;20;18;18;32;32,79952.0,tpcds,100
iceberg,presto,query1,8;226;8;13;49;1024;362,36584.0,tpcds,100
iceberg,presto,query10,8;226;8;13;49;1024;362,31521.0,tpcds,100
iceberg,presto,query13,8;226;8;13;49;1024;362,52901.0,tpcds,100
iceberg,presto,query15,8;226;8;13;49;1024;362,24115.0,tpcds,100
iceberg,presto,query18,8;226;8;13;49;1024;362,30741.0,tpcds,100
iceberg,presto,query19,8;226;8;13;49;1024;362,22233.0,tpcds,100
iceberg,presto,query2,8;226;8;13;49;1024;362,31207.0,tpcds,100
iceberg,presto,query22,8;226;8;13;49;1024;362,105875.0,tpcds,100
iceberg,presto,query26,8;226;8;13;49;1024;362,15337.0,tpcds,100
iceberg,presto,query27,8;226;8;13;49;1024;362,22276.0,tpcds,100
iceberg,presto,query28,8;226;8;13;49;1024;362,73727.0,tpcds,100
iceberg,presto,query3,8;226;8;13;49;1024;362,12092.0,tpcds,100
iceberg,presto,query33,8;226;8;13;49;1024;362,33752.0,tpcds,100
iceberg,presto,query34,8;226;8;13;49;1024;362,16356.0,tpcds,100
iceberg,presto,query35,8;226;8;13;49;1024;362,34943.0,tpcds,100
iceberg,presto,query36,8;226;8;13;49;1024;362,21739.0,tpcds,100
iceberg,presto,query41,8;226;8;13;49;1024;362,2999.0,tpcds,100
iceberg,presto,query42,8;226;8;13;49;1024;362,9782.0,tpcds,100
iceberg,presto,query43,8;226;8;13;49;1024;362,7613.0,tpcds,100
iceberg,presto,query44,8;226;8;13;49;1024;362,5811.0,tpcds,100
iceberg,presto,query45,8;226;8;13;49;1024;362,17199.0,tpcds,100
iceberg,presto,query46,8;226;8;13;49;1024;362,27725.0,tpcds,100
iceberg,presto,query48,8;226;8;13;49;1024;362,31302.0,tpcds,100
iceberg,presto,query49,8;226;8;13;49;1024;362,83746.0,tpcds,100
iceberg,presto,query1,16;200;20;18;18;32;32,16908.0,tpcds,100
iceberg,presto,query10,16;200;20;18;18;32;32,25437.0,tpcds,100
iceberg,presto,query13,16;200;20;18;18;32;32,45219.0,tpcds,100
iceberg,presto,query15,16;200;20;18;18;32;32,15671.0,tpcds,100
iceberg,presto,query17,16;200;20;18;18;32;32,50001.0,tpcds,100
iceberg,presto,query18,16;200;20;18;18;32;32,36707.0,tpcds,100
iceberg,presto,query19,16;200;20;18;18;32;32,19717.0,tpcds,100
iceberg,presto,query2,16;200;20;18;18;32;32,24871.0,tpcds,100
iceberg,presto,query22,16;200;20;18;18;32;32,79479.0,tpcds,100
iceberg,presto,query25,16;200;20;18;18;32;32,54935.0,tpcds,100
iceberg,presto,query26,16;200;20;18;18;32;32,16876.0,tpcds,100
iceberg,presto,query27,16;200;20;18;18;32;32,27636.0,tpcds,100
iceberg,presto,query28,16;200;20;18;18;32;32,47672.0,tpcds,100
iceberg,presto,query29,16;200;20;18;18;32;32,47098.0,tpcds,100
iceberg,presto,query3,16;200;20;18;18;32;32,10561.0,tpcds,100
iceberg,presto,query31,16;200;20;18;18;32;32,27763.0,tpcds,100
iceberg,presto,query33,16;200;20;18;18;32;32,25294.0,tpcds,100
iceberg,presto,query34,16;200;20;18;18;32;32,11415.0,tpcds,100
iceberg,presto,query35,16;200;20;18;18;32;32,13090.0,tpcds,100
iceberg,presto,query36,16;200;20;18;18;32;32,13935.0,tpcds,100
iceberg,presto,query38,16;200;20;18;18;32;32,17540.0,tpcds,100
iceberg,presto,query41,16;200;20;18;18;32;32,2024.0,tpcds,100
iceberg,presto,query42,16;200;20;18;18;32;32,7076.0,tpcds,100
iceberg,presto,query43,16;200;20;18;18;32;32,8576.0,tpcds,100
iceberg,presto,query44,16;200;20;18;18;32;32,3767.0,tpcds,100
iceberg,presto,query45,16;200;20;18;18;32;32,14583.0,tpcds,100
iceberg,presto,query46,16;200;20;18;18;32;32,13422.0,tpcds,100
iceberg,presto,query48,16;200;20;18;18;32;32,17423.0,tpcds,100
iceberg,presto,query49,16;200;20;18;18;32;32,79952.0,tpcds,100
iceberg,presto,query1,8;226;8;13;49;1024;362,36584.0,tpcds,100
iceberg,presto,query10,8;226;8;13;49;1024;362,31521.0,tpcds,100
iceberg,presto,query13,8;226;8;13;49;1024;362,52901.0,tpcds,100
iceberg,presto,query15,8;226;8;13;49;1024;362,24115.0,tpcds,100
iceberg,presto,query18,8;226;8;13;49;1024;362,30741.0,tpcds,100
iceberg,presto,query19,8;226;8;13;49;1024;362,22233.0,tpcds,100
iceberg,presto,query2,8;226;8;13;49;1024;362,31207.0,tpcds,100
iceberg,presto,query22,8;226;8;13;49;1024;362,105875.0,tpcds,100
iceberg,presto,query26,8;226;8;13;49;1024;362,15337.0,tpcds,100
iceberg,presto,query27,8;226;8;13;49;1024;362,22276.0,tpcds,100
iceberg,presto,query28,8;226;8;13;49;1024;362,73727.0,tpcds,100
iceberg,presto,query3,8;226;8;13;49;1024;362,12092.0,tpcds,100
iceberg,presto,query33,8;226;8;13;49;1024;362,33752.0,tpcds,100
iceberg,presto,query34,8;226;8;13;49;1024;362,16356.0,tpcds,100
iceberg,presto,query35,8;226;8;13;49;1024;362,34943.0,tpcds,100
iceberg,presto,query36,8;226;8;13;49;1024;362,21739.0,tpcds,100
iceberg,presto,query41,8;226;8;13;49;1024;362,2999.0,tpcds,100
iceberg,presto,query42,8;226;8;13;49;1024;362,9782.0,tpcds,100
iceberg,presto,query43,8;226;8;13;49;1024;362,7613.0,tpcds,100
iceberg,presto,query44,8;226;8;13;49;1024;362,5811.0,tpcds,100
iceberg,presto,query45,8;226;8;13;49;1024;362,17199.0,tpcds,100
iceberg,presto,query46,8;226;8;13;49;1024;362,27725.0,tpcds,100
iceberg,presto,query48,8;226;8;13;49;1024;362,31302.0,tpcds,100
iceberg,presto,query49,8;226;8;13;49;1024;362,83746.0,tpcds,100
iceberg,presto,query90,16;200;20;18;18;32;32,29979.96,tpcds,100
